coverage_id	assigned_split	trait_id	object_type	score_source	score_level_used	n_objects	n_objects_with_evidence_score	n_objects_with_any_decoy_score	n_objects_with_all_decoy_scores	mean_decoys_with_score	median_decoys_with_score	coverage_rate_evidence	coverage_rate_decoy_any	coverage_rate_decoy_all	dry_run_only	notes
DRCOV_00000155	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	variant	baseline:shuffled_trait	variant	2363	2363	2363	2363	5	5	1	1	1	true	exact score coverage
DRCOV_00000156	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	variant	baseline:window_snp_density	variant	2363	2363	2363	2363	5	5	1	1	1	true	exact score coverage
DRCOV_00000157	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	window	baseline:genomic_position	window	67	67	67	67	5	5	1	1	1	true	exact score coverage
DRCOV_00000158	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	window	baseline:random_uniform	window	67	67	67	67	5	5	1	1	1	true	exact score coverage
DRCOV_00000159	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	window	baseline:shuffled_trait	window	67	67	67	67	5	5	1	1	1	true	exact score coverage
DRCOV_00000160	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	window	baseline:window_snp_density	window	67	67	67	67	5	5	1	1	1	true	exact score coverage
DRCOV_00000161	source_disjoint_or_temporal	data_lt_2007__fla_repro	gene	baseline:genomic_position	window	3	3	3	3	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000162	source_disjoint_or_temporal	data_lt_2007__fla_repro	gene	baseline:random_uniform	window	3	3	3	3	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000163	source_disjoint_or_temporal	data_lt_2007__fla_repro	gene	baseline:shuffled_trait	window	3	3	3	3	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000164	source_disjoint_or_temporal	data_lt_2007__fla_repro	gene	baseline:window_snp_density	window	3	3	3	3	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000165	source_disjoint_or_temporal	data_lt_2007__llt_code	variant	baseline:genomic_position	variant	3379	3379	3379	3379	5	5	1	1	1	true	exact score coverage
DRCOV_00000166	source_disjoint_or_temporal	data_lt_2007__llt_code	variant	baseline:random_uniform	variant	3379	3379	3379	3379	5	5	1	1	1	true	exact score coverage
DRCOV_00000167	source_disjoint_or_temporal	data_lt_2007__llt_code	variant	baseline:shuffled_trait	variant	3379	3379	3379	3379	5	5	1	1	1	true	exact score coverage
DRCOV_00000168	source_disjoint_or_temporal	data_lt_2007__llt_code	variant	baseline:window_snp_density	variant	3379	3379	3379	3379	5	5	1	1	1	true	exact score coverage
DRCOV_00000169	source_disjoint_or_temporal	data_lt_2007__llt_code	window	baseline:genomic_position	window	100	100	100	100	5	5	1	1	1	true	exact score coverage
DRCOV_00000170	source_disjoint_or_temporal	data_lt_2007__llt_code	window	baseline:random_uniform	window	100	100	100	100	5	5	1	1	1	true	exact score coverage
DRCOV_00000171	source_disjoint_or_temporal	data_lt_2007__llt_code	window	baseline:shuffled_trait	window	100	100	100	100	5	5	1	1	1	true	exact score coverage
DRCOV_00000172	source_disjoint_or_temporal	data_lt_2007__llt_code	window	baseline:window_snp_density	window	100	100	100	100	5	5	1	1	1	true	exact score coverage
DRCOV_00000173	source_disjoint_or_temporal	data_lt_2007__lsen	gene	baseline:genomic_position	window	8	8	8	8	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000174	source_disjoint_or_temporal	data_lt_2007__lsen	gene	baseline:random_uniform	window	8	8	8	8	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000175	source_disjoint_or_temporal	data_lt_2007__lsen	gene	baseline:shuffled_trait	window	8	8	8	8	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000176	source_disjoint_or_temporal	data_lt_2007__lsen	gene	baseline:window_snp_density	window	8	8	8	8	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000177	source_disjoint_or_temporal	data_lt_2007__spkf	gene	baseline:genomic_position	window	88	88	88	88	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000178	source_disjoint_or_temporal	data_lt_2007__spkf	gene	baseline:random_uniform	window	88	88	88	88	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000179	source_disjoint_or_temporal	data_lt_2007__spkf	gene	baseline:shuffled_trait	window	88	88	88	88	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000180	source_disjoint_or_temporal	data_lt_2007__spkf	gene	baseline:window_snp_density	window	88	88	88	88	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000181	source_disjoint_or_temporal	data_lt_2007__spkf	variant	baseline:genomic_position	variant	2982	2982	2982	2982	5	5	1	1	1	true	exact score coverage
DRCOV_00000182	source_disjoint_or_temporal	data_lt_2007__spkf	variant	baseline:random_uniform	variant	2982	2982	2982	2982	5	5	1	1	1	true	exact score coverage
DRCOV_00000183	source_disjoint_or_temporal	data_lt_2007__spkf	variant	baseline:shuffled_trait	variant	2982	2982	2982	2982	5	5	1	1	1	true	exact score coverage
DRCOV_00000184	source_disjoint_or_temporal	data_lt_2007__spkf	variant	baseline:window_snp_density	variant	2982	2982	2982	2982	5	5	1	1	1	true	exact score coverage
DRCOV_00000185	source_disjoint_or_temporal	data_lt_2007__spkf	window	baseline:genomic_position	window	92	92	92	92	5	5	1	1	1	true	exact score coverage
DRCOV_00000186	source_disjoint_or_temporal	data_lt_2007__spkf	window	baseline:random_uniform	window	92	92	92	92	5	5	1	1	1	true	exact score coverage
DRCOV_00000187	source_disjoint_or_temporal	data_lt_2007__spkf	window	baseline:shuffled_trait	window	92	92	92	92	5	5	1	1	1	true	exact score coverage
DRCOV_00000188	source_disjoint_or_temporal	data_lt_2007__spkf	window	baseline:window_snp_density	window	92	92	92	92	5	5	1	1	1	true	exact score coverage
