source_database	download_id	source_id	data_category	file_role	url	local_path	download_status	file_size_bytes	checksum_sha256	source_version	reference_build	notes
funRiceGenes	DL_EXT_FUNRICEGENES_HOME_001	SRC_EXT_FUNRICEGENES_001	external_known_gene_evidence	static_home_page_html	https://funricegenes.github.io/	data/raw/external_knowledge/funricegenes/funricegenes_home.html	downloaded	15137	e0e21a2355d1556515f1b99eafd58d2e0a6d2ca947b09cd648c8e56610bd5777	funRiceGenes public static site accessed 2026-05-16	mixed_or_to_be_confirmed	Static home page with download links and citation metadata
funRiceGenes	DL_EXT_FUNRICEGENES_SHINY_HOME_001	SRC_EXT_FUNRICEGENES_001	external_known_gene_evidence	shiny_page_html	https://venyao.xyz/funRiceGenes/	data/raw/external_knowledge/funricegenes/funricegenes_shiny_home.html	downloaded	156745	ec53704f6e64e68367bf6494afcea7083792e9f040508b2dd9a186bd8de6522f	funRiceGenes public static site accessed 2026-05-16	mixed_or_to_be_confirmed	Interactive Shiny page saved as metadata and manual-download fallback context
funRiceGenes	DL_EXT_FUNRICEGENES_GENEINFO_001	SRC_EXT_FUNRICEGENES_001	external_known_gene_evidence	cloned_gene_table	https://funricegenes.github.io/geneInfo.table.txt	data/raw/external_knowledge/funricegenes/geneInfo.table.txt	downloaded	168335	42780812a525bb97dc6a7e5d231b3c1052326297bdc40dd5c80d79b72648b5b3	funRiceGenes public static site accessed 2026-05-16	mixed_or_to_be_confirmed	Functionally characterized/cloned rice gene table; known gene evidence layer candidate
funRiceGenes	DL_EXT_FUNRICEGENES_FAMINFO_001	SRC_EXT_FUNRICEGENES_001	external_gene_id_mapping	gene_family_member_table	https://funricegenes.github.io/famInfo.table.txt	data/raw/external_knowledge/funricegenes/famInfo.table.txt	downloaded	328118	af63212decf89d65d7b52dcec0face372382be307b993b5ca4cc33f086679682	funRiceGenes public static site accessed 2026-05-16	mixed_or_to_be_confirmed	Gene family members table; gene ID mapping and candidate gene explanation support
funRiceGenes	DL_EXT_FUNRICEGENES_KEYWORD_001	SRC_EXT_FUNRICEGENES_001	external_functional_annotation	gene_keyword_table	https://funricegenes.github.io/geneKeyword.table.txt	data/raw/external_knowledge/funricegenes/geneKeyword.table.txt	downloaded	15189535	f8afbb50298442cdd3689d3c5c015348e2c62b08d7de6ba7a7dd2ab196456210	funRiceGenes public static site accessed 2026-05-16	mixed_or_to_be_confirmed	Gene-keyword table; functional annotation and candidate explanation layer candidate
funRiceGenes	DL_EXT_FUNRICEGENES_REFERENCE_001	SRC_EXT_FUNRICEGENES_001	external_known_gene_evidence	literature_reference_table	https://funricegenes.github.io/reference.table.txt	data/raw/external_knowledge/funricegenes/reference.table.txt	downloaded	14671997	4a1422447ebefbe51a10ded06593c22d631f20a01e1d59b3e3f0bed840dd90f6	funRiceGenes public static site accessed 2026-05-16	mixed_or_to_be_confirmed	Literature reference table; evidence provenance support
funRiceGenes	DL_EXT_FUNRICEGENES_NETWORK_PDF_001	SRC_EXT_FUNRICEGENES_001	external_functional_annotation	interaction_network_pdf	https://funricegenes.github.io/net.pdf	data/raw/external_knowledge/funricegenes/net.pdf	downloaded	944861	08dc1817d15876ecf20838ed61a127d3a8a442ffaa4d2a061ce4ea2a3b9c7c17	funRiceGenes public static site accessed 2026-05-16	mixed_or_to_be_confirmed	Interaction network PDF; metadata/explanation support only in 07A
funRiceGenes	DL_EXT_FUNRICEGENES_HELP_PDF_001	SRC_EXT_FUNRICEGENES_001	external_known_gene_evidence	help_manual_pdf	https://funricegenes.github.io/help.pdf	data/raw/external_knowledge/funricegenes/help.pdf	downloaded	1474174	bf1d55b2fd32f631dbdbfc8cbc633f85182f0057013059827fba056465400a16	funRiceGenes public static site accessed 2026-05-16	mixed_or_to_be_confirmed	Help manual; metadata and schema interpretation support
